380172	Larus hyperboreus hyperboreus	北極鷗
380175	Larus schistisagus	灰背鷗
425201	Larvivora akahige akahige	日本歌鴝
425211	Larvivora cyane bochaiensis	藍歌鴝
425212	Larvivora cyane cyane	藍歌鴝
425202	Larvivora komadori komadori	琉球歌鴝
425213	Larvivora sibilans	紅尾歌鴝
417886	Leiothrix lutea	紅嘴相思鳥
419704	Leucophaeus atricilla	笑鷗
419705	Leucophaeus pipixcan	弗氏鷗
380229	Limnodromus scolopaceus	長嘴半蹼鷸
380230	Limnodromus semipalmatus	半蹼鷸
380231	Limosa lapponica baueri	斑尾鷸
380232	Limosa limosa melanuroides	黑尾鷸
380468	Liocichla steerii	黃胸藪眉
428588	Locustella alishanensis	臺灣叢樹鶯
419838	Locustella amnicola	庫頁島蝗鶯
380469	Locustella certhiola certhiola	小蝗鶯
421137	Locustella fasciolata	蒼眉蝗鶯
420262	Locustella lanceolata hendersonii	茅斑蝗鶯(日本亞種)
380471	Locustella lanceolata lanceolata	茅斑蝗鶯(大陸亞種)
380472	Locustella ochotensis	北蝗鶯
404599	Locustella pleskei	史氏蝗鶯
420206	Lonchura atricapilla formosana	黑頭文鳥
425209	Lonchura atricapilla sinensis	栗腹文鳥(外來亞種)
419422	Lonchura maja	白頭文鳥
431228	Lonchura oryzivora	爪哇雀
380426	Lonchura punctulata topela	斑文鳥
380427	Lonchura striata swinhoei	白腰文鳥
380289	Lophura swinhoii	藍腹鷴
380385	Luscinia svecica svecica	藍喉歌鴝
380233	Lymnocryptes minimus	小鷸
419677	Macholophus holsti	黃山雀
380264	Macropygia tenuirostris phaea	菲律賓鵑鳩
419636	Macropygia unchall	斑尾鵑鳩
428593	Megapomatorhinus erythrocnemis	大彎嘴
380358	Melophus lathami	冠鵐
380085	Mergellus albellus	小秋沙
380086	Mergus merganser merganser	川秋沙
380087	Mergus serrator	紅胸秋沙
380088	Mergus squamatus	唐秋沙
404608	Merops ornatus	彩虹蜂虎
419642	Merops philippinus	栗喉蜂虎
431471	Merops viridis viridis	藍喉蜂虎
419628	Mesophoyx intermedia intermedia	中白鷺
404610	Milvus migrans formosanus	黑鳶
404611	Monticola gularis	白喉磯鶇
420254	Monticola solitarius pandoo	藍腹藍磯鶇
380386	Monticola solitarius philippensis	藍磯鶇
430651	Motacilla alba baicalensis	白面灰背白鶺鴒
420249	Motacilla alba leucopsis	白面黑背白鶺鴒
420212	Motacilla alba lugens	黑背眼紋白鶺鴒
420250	Motacilla alba ocularis	灰背眼紋白鶺鴒
425374	Motacilla cinerea cinerea	灰鶺鴒
380430	Motacilla citreola citreola	黃頭鶺鴒
430654	Motacilla flava thunbergi	西方黃鶺鴒
380432	Motacilla grandis	日本鶺鴒
430652	Motacilla tschutschensis macronyx	藍頭黃鶺鴒
430653	Motacilla tschutschensis taivana	黃眉黃鶺鴒
425214	Motacilla tschutschensis tschutschensis	東方黃鶺鴒
380388	Muscicapa ferruginea	紅尾鶲
380389	Muscicapa griseisticta	灰斑鶲
427293	Muscicapa latirostris latirostris	寬嘴鶲
419658	Muscicapa muttui	褐胸鶲
380390	Muscicapa sibirica sibirica	烏鶲
419657	Muscicapa striata	斑鶲
419668	Myophonus caeruleus	白斑紫嘯鶇
404613	Myophonus insularis	臺灣紫嘯鶇
404614	Netta rufina	赤嘴潛鴨
380089	Nettapus coromandelianus coromandelianus	棉鴨
425261	Niltava davidi	棕腹大仙鶲
420198	Niltava sundara denotata	棕腹仙鶲
425216	Niltava vivida vivida	黃腹琉璃
425218	Ninox japonica japonica	褐鷹鴞(過境亞種)
425217	Ninox japonica totogo	褐鷹鴞(留鳥亞種)
380257	Nipponia nippon	朱鹮
425229	Nisaetus nipalensis nipalensis	熊鷹
380329	Nucifraga caryocatactes owstoni	星鴉
380235	Numenius arquata orientalis	白腰杓鷸
380236	Numenius madagascariensis	紅腰杓鷸
380237	Numenius minutus	小杓鷸
380238	Numenius phaeopus variegatus	中杓鷸
404615	Nycticorax caledonicus manillensis	棕夜鷺
380137	Nycticorax nycticorax nycticorax	夜鷺
417695	Nymphicus hollandicus	玄鳳鸚鵡
404616	Oceanodroma leucorhoa	白腰叉尾海燕
404617	Oceanodroma matsudairae	煙黑叉尾海燕
380203	Oceanodroma monorhis	黑叉尾海燕
404618	Oceanodroma tristrami	褐翅叉尾海燕
404619	Oenanthe deserti deserti	漠即鳥
420255	Oenanthe deserti oreophila	漠即鳥
404620	Oenanthe isabellina	沙即鳥
404621	Oenanthe oenanthe oenanthe	穗即鳥
419689	Oenanthe pleschanka	白頂即鳥
419709	Onychoprion aleuticus	白腰燕鷗
425232	Onychoprion anaethetus anaethetus	白眉燕鷗
425235	Onychoprion fuscata nubilosus	烏領燕鷗
380330	Oriolus chinensis diffusus	黃鸝
425219	Oriolus chinensis maculatus	黃鸝(外來亞種)
380331	Oriolus traillii ardens	朱鸝
380503	Otus elegans botelensis	優雅角鴞
419715	Otus lettia glabripes	領角鴞
380505	Otus spilocephalus hambroecki	黃嘴角鴞
404622	Otus sunia japonicus	東方角鴞
420276	Otus sunia stictonotus	東方角鴞
380115	Pandion haliaetus haliaetus	魚鷹
417867	Paroaria coronata	紅冠雀
430648	Parus minor commixtus	白頰山雀
380416	Parus monticolus insperatus	青背山雀
425262	Passer domesticus domesticus	家麻雀
404623	Passer montanus saturatus	麻雀
380434	Passer rutilans rutilans	山麻雀
419842	Pastor roseus	粉紅椋鳥
419425	Pavo cristatus	印度藍孔雀
404624	Pelecanus crispus	卷羽鵜鶘
419645	Pericrocotus cantonensis	小灰山椒鳥
420939	Pericrocotus divaricatus	灰山椒鳥
404627	Pericrocotus ethologus ethologus	長尾山椒
380333	Pericrocotus solaris griseogularis	灰喉山椒
419646	Pericrocotus tegimae	琉球山椒鳥
419676	Periparus ater ptilosus	煤山雀
430635	Periparus venustulus	黃腹山雀
404628	Pernis ptilorhynchus orientalis	東方蜂鷹
420244	Phaethon aethereus indicus	紅嘴熱帶鳥
380190	Phaethon lepturus dorotheae	白尾熱帶鳥
380191	Phaethon rubricauda melanorhynchos	紅尾熱帶鳥
420287	Phaethon rubricauda roseotinctus	紅尾熱帶鳥
380192	Phalacrocorax capillatus	丹氏鸕鷀
380193	Phalacrocorax carbo sinensis	鸕鷀
380194	Phalacrocorax pelagicus pelagicus	海鸕鷀
404629	Phalaropus fulicarius	灰瓣足鷸
380240	Phalaropus lobatus	紅領瓣足鷸
380290	Phasianus colchicus formosanus	環頸雉
419430	Phasianus colchicus karpowi	高麗雉
404630	Phoebastria albatrus	短尾信天翁
404631	Phoebastria immutabilis	黑背信天翁
404632	Phoebastria nigripes	黑腳信天翁
380393	Phoenicurus auroreus auroreus	黃尾鴝
428599	Phoenicurus frontalis	藍額紅尾鴝
425227	Phoenicurus fuliginosus affinis	鉛色水鶇
425194	Phoenicurus leucocephalus	白頂溪鴝
380394	Phoenicurus ochruros rufiventris	赭紅尾鴝
